,Team Name,Flag Images,Span,Matches,Won,Lost,Tied,Net Run Rate(NR),Winning %,Final Apperances,Winners,Runners,Years Won,Years Runners
0,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321000/321005.png",2015-2019,15,1,14,0,0,6.66,-,-,-,-,-
1,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/340400/340493.png",1975-2019,94,69,23,1,1,74.73,7,5,2,"1987, 1999, 2003, 2007, 2015","1975, 1996"
2,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/341400/341456.png",1999-2019,40,14,25,0,1,35.89,-,-,-,-,-
3,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313100/313114.logo.png",1975-2019,83,48,32,2,1,59.75,4,1,3,2019,"1979, 1987, 1992"
4,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313100/313128.logo.png",1975-2019,84,53,29,1,1,64.45,3,2,1,"1983, 2011",2003
5,Ireland,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313100/313149.logo.png",2007-2015,21,7,13,1,0,35.71,-,-,-,-,-
6,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/340500/340505.png",1975-2019,89,54,33,1,1,61.93,2,0,2,-,"2015, 2019"
7,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313100/313129.logo.png",1975-2019,79,45,32,0,2,58.44,2,1,1,1992,1999
8,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313100/313125.logo.png",1992-2019,64,38,23,2,1,61.9,-,-,-,-,-
9,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/340000/340047.png",1975-2019,80,38,39,1,2,49.35,3,1,2,1996,"2007, 2011"
10,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317600/317615.png",1975-2019,80,43,35,0,2,55.12,3,2,1,"1975, 1979",1983
11,Zimbabwe,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/340500/340503.png",1983-2015,57,11,42,1,3,21.29,-,-,-,-,-
