match,teamInnings,Bowler Name,Over,Maiden,Runs,Wickets,Economy,dots,fours,sixes,wides,no balls,Match Id
United Arab Emirates VsOman,Oman,Bilal Khan,9,0,38,3,4.22,36,4,0,2,0,4224
United Arab Emirates VsOman,Oman,Kaleemullah,6,1,16,1,2.66,30,3,0,0,0,4224
United Arab Emirates VsOman,Oman,Mohammad Nadeem,4,0,13,0,3.25,15,0,0,1,0,4224
United Arab Emirates VsOman,Oman,Mohammad Sanuth,6,2,18,0,3.00,27,3,0,0,0,4224
United Arab Emirates VsOman,Oman,Sandeep Goud,2,0,12,0,6.00,7,2,0,1,0,4224
United Arab Emirates VsOman,Oman,Aqib Ilyas,5,1,17,0,3.40,19,0,1,0,0,4224
United Arab Emirates VsOman,Oman,Khawar Ali,9,0,38,1,4.22,29,1,1,1,0,4224
United Arab Emirates VsOman,Oman,Zeeshan Maqsood,6.1,2,15,4,2.43,26,1,0,0,0,4224
United Arab Emirates VsOman,United Arab Emirates,Junaid Siddique,7,1,32,2,4.57,28,5,0,2,0,4224
United Arab Emirates VsOman,United Arab Emirates,Darius D'Silva,2,0,8,0,4.00,9,1,0,2,0,4224
United Arab Emirates VsOman,United Arab Emirates,Zawar Farid,6,0,29,0,4.83,19,2,0,0,0,4224
United Arab Emirates VsOman,United Arab Emirates,Ahmed Raza,10,0,37,2,3.70,36,3,0,0,0,4224
United Arab Emirates VsOman,United Arab Emirates,Rohan Mustafa,9.3,0,52,1,5.47,29,3,0,3,0,4224
United Arab Emirates VsOman,United Arab Emirates,Waheed Ahmed,2,0,8,0,4.00,4,0,0,0,0,4224
United Arab Emirates VsOman,United Arab Emirates,Basil Hameed,1,0,5,0,5.00,4,1,0,0,0,4224
United Arab Emirates VsNamibia,Namibia,Jan Frylinck,10,3,33,1,3.30,43,1,1,3,0,4225
United Arab Emirates VsNamibia,Namibia,JJ Smit,10,0,46,2,4.60,36,4,0,5,1,4225
United Arab Emirates VsNamibia,Namibia,Craig Williams,9,0,49,1,5.44,27,3,1,2,1,4225
United Arab Emirates VsNamibia,Namibia,Ben Shikongo,6,0,41,2,6.83,21,5,1,4,0,4225
United Arab Emirates VsNamibia,Namibia,Bernard Scholtz,10,1,34,2,3.40,37,1,1,0,1,4225
United Arab Emirates VsNamibia,Namibia,Pikky Ya France,5,0,16,1,3.20,15,0,0,0,0,4225
United Arab Emirates VsNamibia,United Arab Emirates,Junaid Siddique,10,0,48,1,4.80,33,6,0,1,0,4225
United Arab Emirates VsNamibia,United Arab Emirates,Darius D'Silva,5,0,17,1,3.40,21,2,0,1,0,4225
United Arab Emirates VsNamibia,United Arab Emirates,Rohan Mustafa,10,0,52,1,5.20,25,4,0,1,0,4225
United Arab Emirates VsNamibia,United Arab Emirates,Ahmed Raza,9,2,25,0,2.77,34,1,0,0,0,4225
United Arab Emirates VsNamibia,United Arab Emirates,Karthik Meiyappan,9,0,37,4,4.11,33,3,0,4,0,4225
United Arab Emirates VsNamibia,United Arab Emirates,Waheed Ahmed,7,0,29,0,4.14,19,1,0,1,0,4225
Ireland VsWest Indies,West Indies,Sheldon Cottrell,9,1,39,2,4.33,38,6,0,1,0,4226
Ireland VsWest Indies,West Indies,Keemo Paul,7.1,0,34,1,4.74,30,5,0,2,2,4226
Ireland VsWest Indies,West Indies,Alzarri Joseph,10,1,32,4,3.20,41,2,1,2,0,4226
Ireland VsWest Indies,West Indies,Roston Chase,10,0,35,1,3.50,34,1,1,0,0,4226
Ireland VsWest Indies,West Indies,Hayden Walsh,10,0,30,2,3.00,38,1,0,2,0,4226
Ireland VsWest Indies,Ireland,Andy McBrine,7,0,40,1,5.71,23,4,1,1,0,4226
Ireland VsWest Indies,Ireland,Barry McCarthy,7.2,1,46,1,6.27,24,7,0,2,0,4226
Ireland VsWest Indies,Ireland,Mark Adair,2,0,24,0,12.00,6,2,2,1,0,4226
Ireland VsWest Indies,Ireland,Simi Singh,10,0,44,2,4.40,36,6,0,0,0,4226
Ireland VsWest Indies,Ireland,Boyd Rankin,7,1,26,1,3.71,30,4,0,0,0,4226
Namibia VsOman,Oman,Bilal Khan,10,1,49,4,4.90,36,4,1,2,0,4227
Namibia VsOman,Oman,Kaleemullah,6,0,47,0,7.83,19,8,1,1,0,4227
Namibia VsOman,Oman,Mohammad Nadeem,8,0,67,1,8.37,18,10,1,0,0,4227
Namibia VsOman,Oman,Aqib Ilyas,4,0,27,0,6.75,12,4,0,0,0,4227
Namibia VsOman,Oman,Mohammad Sanuth,3,0,27,0,9.00,6,4,0,1,0,4227
Namibia VsOman,Oman,Zeeshan Maqsood,10,0,46,2,4.60,34,4,1,0,0,4227
Namibia VsOman,Oman,Khawar Ali,7,0,47,0,6.71,17,1,3,1,0,4227
Namibia VsOman,Oman,Sandeep Goud,2,0,11,0,5.50,7,2,0,0,0,4227
Namibia VsOman,Namibia,JJ Smit,8,0,44,5,5.50,24,2,2,1,0,4227
Namibia VsOman,Namibia,Jan Frylinck,8,1,45,1,5.62,21,3,1,1,1,4227
Namibia VsOman,Namibia,Pikky Ya France,4,1,26,0,6.50,14,0,3,0,0,4227
Namibia VsOman,Namibia,Jan-Izak de Villiers,6,0,47,2,7.83,19,4,3,1,1,4227
Namibia VsOman,Namibia,Craig Williams,10,0,49,1,4.90,27,4,0,0,1,4227
Namibia VsOman,Namibia,Bernard Scholtz,8,0,47,0,5.87,17,3,1,0,0,4227
