Match,Team 1,Team 2,Winner,Margin,Ground,Match Date,Match id
England vs India,England,India,England,202 runs,Lord's,"Jun 7, 1975",ODI # 19
East Africa vs New Zealand,East Africa,New Zealand,New Zealand,181 runs,Birmingham,"Jun 7, 1975",ODI # 20
Australia vs Pakistan,Australia,Pakistan,Australia,73 runs,Leeds,"Jun 7, 1975",ODI # 21
Sri Lanka vs West Indies,Sri Lanka,West Indies,West Indies,9 wickets,Manchester,"Jun 7, 1975",ODI # 22
England vs New Zealand,England,New Zealand,England,80 runs,Nottingham,"Jun 11, 1975",ODI # 23
East Africa vs India,East Africa,India,India,10 wickets,Leeds,"Jun 11, 1975",ODI # 24
Australia vs Sri Lanka,Australia,Sri Lanka,Australia,52 runs,The Oval,"Jun 11, 1975",ODI # 25
Pakistan vs West Indies,Pakistan,West Indies,West Indies,1 wicket,Birmingham,"Jun 11, 1975",ODI # 26
England vs East Africa,England,East Africa,England,196 runs,Birmingham,"Jun 14, 1975",ODI # 27
India vs New Zealand,India,New Zealand,New Zealand,4 wickets,Manchester,"Jun 14, 1975",ODI # 28
Australia vs West Indies,Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 14, 1975",ODI # 29
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,192 runs,Nottingham,"Jun 14, 1975",ODI # 30
England vs Australia,England,Australia,Australia,4 wickets,Leeds,"Jun 18, 1975",ODI # 31
New Zealand vs West Indies,New Zealand,West Indies,West Indies,5 wickets,The Oval,"Jun 18, 1975",ODI # 32
Australia vs West Indies,Australia,West Indies,West Indies,17 runs,Lord's,"Jun 21, 1975",ODI # 33
India vs West Indies,India,West Indies,West Indies,9 wickets,Birmingham,"Jun 9, 1979",ODI # 61
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,9 wickets,Nottingham,"Jun 9, 1979",ODI # 62
England vs Australia,England,Australia,England,6 wickets,Lord's,"Jun 9, 1979",ODI # 63
Canada vs Pakistan,Canada,Pakistan,Pakistan,8 wickets,Leeds,"Jun 9, 1979",ODI # 64
Sri Lanka vs West Indies,Sri Lanka,West Indies,abandoned,,The Oval,"Jun 13-15, 1979",ODI # 64a
India vs New Zealand,India,New Zealand,New Zealand,8 wickets,Leeds,"Jun 13, 1979",ODI # 65
Australia vs Pakistan,Australia,Pakistan,Pakistan,89 runs,Nottingham,"Jun 13-14, 1979",ODI # 66
England vs Canada,England,Canada,England,8 wickets,Manchester,"Jun 13-14, 1979",ODI # 67
India vs Sri Lanka,India,Sri Lanka,Sri Lanka,47 runs,Manchester,"Jun 16-18, 1979",ODI # 68
New Zealand vs West Indies,New Zealand,West Indies,West Indies,32 runs,Nottingham,"Jun 16, 1979",ODI # 69
Australia vs Canada,Australia,Canada,Australia,7 wickets,Birmingham,"Jun 16, 1979",ODI # 70
England vs Pakistan,England,Pakistan,England,14 runs,Leeds,"Jun 16, 1979",ODI # 71
England vs New Zealand,England,New Zealand,England,9 runs,Manchester,"Jun 20, 1979",ODI # 72
Pakistan vs West Indies,Pakistan,West Indies,West Indies,43 runs,The Oval,"Jun 20, 1979",ODI # 73
England vs West Indies,England,West Indies,West Indies,92 runs,Lord's,"Jun 23, 1979",ODI # 74
England vs New Zealand,England,New Zealand,England,106 runs,The Oval,"Jun 9, 1983",ODI # 197
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,50 runs,Swansea,"Jun 9, 1983",ODI # 198
Australia vs Zimbabwe,Australia,Zimbabwe,Zimbabwe,13 runs,Nottingham,"Jun 9, 1983",ODI # 199
India vs West Indies,India,West Indies,India,34 runs,Manchester,"Jun 9-10, 1983",ODI # 200
England vs Sri Lanka,England,Sri Lanka,England,47 runs,Taunton,"Jun 11, 1983",ODI # 201
New Zealand vs Pakistan,New Zealand,Pakistan,New Zealand,52 runs,Birmingham,"Jun 11-12, 1983",ODI # 202
Australia vs West Indies,Australia,West Indies,West Indies,101 runs,Leeds,"Jun 11-12, 1983",ODI # 203
India vs Zimbabwe,India,Zimbabwe,India,5 wickets,Leicester,"Jun 11, 1983",ODI # 204
England vs Pakistan,England,Pakistan,England,8 wickets,Lord's,"Jun 13, 1983",ODI # 205
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,New Zealand,5 wickets,Bristol,"Jun 13, 1983",ODI # 206
Australia vs India,Australia,India,Australia,162 runs,Nottingham,"Jun 13, 1983",ODI # 207
West Indies vs Zimbabwe,West Indies,Zimbabwe,West Indies,8 wickets,Worcester,"Jun 13, 1983",ODI # 208
England vs New Zealand,England,New Zealand,New Zealand,2 wickets,Birmingham,"Jun 15, 1983",ODI # 209
India vs West Indies,India,West Indies,West Indies,66 runs,The Oval,"Jun 15, 1983",ODI # 210
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,11 runs,Leeds,"Jun 16, 1983",ODI # 211
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,32 runs,Southampton,"Jun 16, 1983",ODI # 212
England vs Pakistan,England,Pakistan,England,7 wickets,Manchester,"Jun 18, 1983",ODI # 213
New Zealand vs Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,3 wickets,Derby,"Jun 18, 1983",ODI # 214
Australia vs West Indies,Australia,West Indies,West Indies,7 wickets,Lord's,"Jun 18, 1983",ODI # 215
India vs Zimbabwe,India,Zimbabwe,India,31 runs,Tunbridge Wells,"Jun 18, 1983",ODI # 216
England vs Sri Lanka,England,Sri Lanka,England,9 wickets,Leeds,"Jun 20, 1983",ODI # 217
New Zealand vs Pakistan,New Zealand,Pakistan,Pakistan,11 runs,Nottingham,"Jun 20, 1983",ODI # 218
Australia vs India,Australia,India,India,118 runs,Chelmsford,"Jun 20, 1983",ODI # 219
West Indies vs Zimbabwe,West Indies,Zimbabwe,West Indies,10 wickets,Birmingham,"Jun 20, 1983",ODI # 220
England vs India,England,India,India,6 wickets,Manchester,"Jun 22, 1983",ODI # 221
Pakistan vs West Indies,Pakistan,West Indies,West Indies,8 wickets,The Oval,"Jun 22, 1983",ODI # 222
India vs West Indies,India,West Indies,India,43 runs,Lord's,"Jun 25, 1983",ODI # 223
Pakistan vs Sri Lanka,Pakistan,Sri Lanka,Pakistan,15 runs,Hyderabad (Sind),"Oct 8, 1987",ODI # 451
India vs Australia,India,Australia,Australia,1 run,Chennai,"Oct 9, 1987",ODI # 453
England vs West Indies,England,West Indies,England,2 wickets,Gujranwala,"Oct 9, 1987",ODI # 452
New Zealand vs Zimbabwe,New Zealand,Zimbabwe,New Zealand,3 runs,Hyderabad (Deccan),"Oct 10, 1987",ODI # 454
Pakistan vs England,Pakistan,England,Pakistan,18 runs,Rawalpindi,"Oct 12-13, 1987",ODI # 455
Australia vs Zimbabwe,Australia,Zimbabwe,Australia,96 runs,Chennai,"Oct 13, 1987",ODI # 456
Sri Lanka vs West Indies,Sri Lanka,West Indies,West Indies,191 runs,Karachi,"Oct 13, 1987",ODI # 457
India vs New Zealand,India,New Zealand,India,16 runs,Bengaluru,"Oct 14, 1987",ODI # 458
Pakistan vs West Indies,Pakistan,West Indies,Pakistan,1 wicket,Lahore,"Oct 16, 1987",ODI # 459
India vs Zimbabwe,India,Zimbabwe,India,8 wickets,Wankhede,"Oct 17, 1987",ODI # 461
England vs Sri Lanka,England,Sri Lanka,England,108 runs,Peshawar,"Oct 17, 1987",ODI # 460
Australia vs New Zealand,Australia,New Zealand,Australia,3 runs,Indore,"Oct 18-19, 1987",ODI # 462
