Player Name,Format,Matches,Innings,Not Outs,Runs,Highest Score,Average,BF,Strike Rate,100s,50s,4s,6s,Ct,St
Azmatullah Omarzai,ODI,7,4,1,35,15*,11.66,56,62.50,0,0,5,0,2,0
Fareed Ahmad,ODI,11,3,3,7,6*,-,21,33.33,0,0,0,0,3,0
Fazalhaq Farooqi,ODI,10,3,2,2,2*,2.00,8,25.00,0,0,0,0,1,0
Gulbadin Naib,ODI,75,64,8,1150,82*,20.53,1572,73.15,0,5,90,28,22,0
Hashmatullah Shahidi,ODI,53,53,7,1505,97*,32.71,2295,65.57,0,13,128,9,11,0
Ibrahim Zadran,ODI,8,8,1,433,162,61.85,497,87.12,3,0,45,5,3,0
Mohammad Nabi,ODI,136,121,13,2968,116,27.48,3478,85.33,1,15,189,92,58,0
Mujeeb Ur Rahman,ODI,55,27,13,97,18*,6.92,128,75.78,0,0,10,2,9,0
Najibullah Zadran,ODI,82,75,12,1974,104*,31.33,2187,90.26,1,15,170,66,39,0
Noor Ahmad,ODI,1,1,1,2,2*,-,1,200.00,0,0,0,0,0,0
Rahmanullah Gurbaz,ODI,15,15,1,582,127,41.57,659,88.31,3,2,49,25,9,2
Rahmat Shah,ODI,88,84,3,3083,114,38.06,4373,70.50,5,22,265,35,20,0
Rashid Khan,ODI,86,68,12,1134,60*,20.25,1077,105.29,0,5,96,40,27,0
Riaz Hassan,ODI,3,3,0,86,50,28.66,126,68.25,0,1,7,2,0,0
Yamin Ahmadzai,ODI,9,5,2,9,5,3.00,32,28.12,0,0,0,0,4,0
Sean Abbott,ODI,8,6,0,105,49,17.50,96,109.37,0,0,13,1,3,0
Ashton Agar,ODI,20,16,4,257,46,21.41,298,86.24,0,0,25,2,10,0
Jason Behrendorff,ODI,12,6,3,21,11*,7.00,23,91.30,0,0,0,0,3,0
Alex Carey,ODI,62,57,11,1629,106,35.41,1850,88.05,1,7,152,13,71,8
Pat Cummins,ODI,75,47,15,324,36,10.12,438,73.97,0,0,23,5,19,0
Nathan Ellis,ODI,3,3,2,6,3*,6.00,7,85.71,0,0,0,0,0,0
Aaron Finch,ODI,146,142,3,5406,153*,38.89,6162,87.73,17,30,532,129,71,0
Cameron Green,ODI,13,11,6,290,89*,58.00,321,90.34,0,1,22,8,5,0
Josh Hazlewood,ODI,69,23,19,81,23*,20.25,104,77.88,0,0,8,1,22,0
Travis Head,ODI,51,48,3,1823,152,40.51,1904,95.74,3,13,190,32,13,0
Josh Inglis,ODI,2,2,0,15,10,7.50,26,57.69,0,0,2,0,0,0
Matthew Kuhnemann,ODI,4,2,0,16,15,8.00,14,114.28,0,0,3,0,2,0
Marnus Labuschagne,ODI,27,26,1,804,108,32.16,951,84.54,1,6,50,1,10,0
Mitchell Marsh,ODI,69,65,9,1814,102*,32.39,2025,89.58,1,13,149,46,31,0
